dates,southkorea,chile,scz,lpz,cbb,bolivia,,,,,,
22/01/20,1,0,0,0,0,0,,,,,,
23/01/20,0,0,0,0,0,0,,,,,,
24/01/20,1,0,0,0,0,0,,,,,,
25/01/20,0,0,0,0,0,0,,,,,,
26/01/20,1,0,0,0,0,0,,,,,,
27/01/20,1,0,0,0,0,0,,,,,,
28/01/20,0,0,0,0,0,0,,,,,,
29/01/20,0,0,0,0,0,0,,,,,,
30/01/20,0,0,0,0,0,0,,,,,,
31/01/20,7,0,0,0,0,0,,,,,,
1/2/20,1,0,0,0,0,0,,,,,,
2/2/20,3,0,0,0,0,0,,,,,,
3/2/20,0,0,0,0,0,0,,,,,,
4/2/20,1,0,0,0,0,0,,,,,,
5/2/20,3,0,0,0,0,0,,,,,,
6/2/20,4,0,0,0,0,0,,,,,,
7/2/20,1,0,0,0,0,0,,,,,,
8/2/20,0,0,0,0,0,0,,,,,,
9/2/20,1,0,0,0,0,0,,,,,,
10/2/20,2,0,0,0,0,0,,,,,,
11/2/20,1,0,0,0,0,0,,,,,,
12/2/20,0,0,0,0,0,0,,,,,,
13/02/20,0,0,0,0,0,0,,,,,,
14/02/20,0,0,0,0,0,0,,,,,,
15/02/20,0,0,0,0,0,0,,,,,,
16/02/20,1,0,0,0,0,0,,,,,,
17/02/20,1,0,0,0,0,0,,,,,,
18/02/20,1,0,0,0,0,0,,,,,,
19/02/20,0,0,0,0,0,0,,,,,,
20/02/20,73,0,0,0,0,0,,,,,,
21/02/20,100,0,0,0,0,0,,,,,,
22/02/20,229,0,0,0,0,0,,,,,,
23/02/20,169,0,0,0,0,0,,,,,,
24/02/20,231,0,0,0,0,0,,,,,,
25/02/20,144,0,0,0,0,0,,,,,,
26/02/20,284,0,0,0,0,0,,,,,,
27/02/20,505,0,0,0,0,0,,,,,,
28/02/20,571,0,0,0,0,0,,,,,,
29/02/20,813,0,0,0,0,0,,,,,,
1/3/20,586,0,0,0,0,0,,,,,,
2/3/20,599,0,0,0,0,0,,,,,,
3/3/20,851,1,0,0,0,0,,,,,,
4/3/20,435,0,0,0,0,0,,,,,,
5/3/20,467,3,0,0,0,0,,,,,,
6/3/20,505,0,0,0,0,0,,,,,,
7/3/20,448,0,0,0,0,0,,,,,,
8/3/20,273,4,0,0,0,0,,,,,,
9/3/20,164,0,0,0,0,0,,,,,,
10/3/20,35,5,1,0,0,2,,,,,,
11/3/20,242,10,1,0,0,1,,,,,,
12/3/20,114,0,0,0,0,0,,,,,,
13/03/20,110,20,0,0,1,7,,,,,,
14/03/20,107,18,0,0,0,0,,,,,,
15/03/20,76,13,1,0,0,1,,,,,,
16/03/20,74,81,0,0,0,0,,,,,,
17/03/20,84,46,1,0,0,1,,,,,,
18/03/20,93,37,0,0,0,0,,,,,,
19/03/20,152,0,1,1,1,4,,,,,,
20/03/20,87,196,3,0,0,3,,,,,,
21/03/20,147,103,1,0,0,1,,9,1,2,8,20
22/03/20,162,95,6,0,1,7,,15,1,3,8,27
23/03/20,0,114,1,0,0,1,,16,1,3,8,28
24/03/20,76,176,2,2,0,4,,18,3,3,8,32
25/03/20,100,220,6,1,0,7,,,,,,
26/03/20,104,164,10,4,7,22,,,,,,
27/03/20,91,304,8,0,4,13,,,,,,
28/03/20,146,299,2,2,0,7,,,,,,
29/03/20,105,230,8,3,4,15,,,,,,
30/03/20,78,310,7,1,2,11,,,,,,
31/03/20,125,289,5,2,0,8,,,,,,
1/4/20,101,293,4,0,1,8,,,,,,
2/4/20,89,373,2,3,1,9,,,,,,
3/4/20,86,333,4,1,2,7,,,,,,
4/4/20,94,424,14,3,1,18,,,,,,
5/4/20,81,310,9,9,8,26,,,,,,
6/4/20,47,344,3,5,0,11,,,,,,
7/4/20,47,301,3,2,5,16,,,,,,
8/4/20,53,430,24,18,9,54,,,,,,
9/4/20,39,426,3,0,1,4,,,,,,
10/4/20,27,529,4,2,0,7,,,,,,
11/4/20,30,426,13,6,1,25,,,,,,
12/4/20,32,286,16,8,3,30,,,,,,
13/04/20,25,312,14,7,2,24,,,,,,
14/04/20,27,392,13,11,3,43,,,,,,
15/04/20,27,356,25,10,2,44,,,,,,
16/04/20,22,534,3,19,0,24,,,,,,
17/04/20,22,445,19,0,1,28,,,,,,
18/04/20,18,478,18,6,0,26,,,,,,
19/04/20,8,358,35,7,1,44,,,,,,
20/04/20,13,419,27,1,0,34,,,,,,
21/04/20,9,325,7,3,1,11,,,,,,
22/04/20,11,464,47,3,1,63,,,,,,
23/04/20,14,516,14,10,3,31,,,,,,
24/04/20,10,494,61,5,4,104,,,,,,
25/04/20,10,552,43,4,1,59,,,,,,
26/04/20,10,473,36,9,7,84,,,,,,
27/04/20,14,482,28,17,0,64,,,,,,
28/04/20,9,552,34,3,1,39,,,,,,
29/04/20,4,770,28,14,1,57,,,,,,
